# Logfile created on 2026-03-11 20:59:55 +0100 by logger.rb/v1.5.3
2026-03-11 20:59:55 +0100: Memory Usage (441704K) : nldb_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (441704K) : digibnd_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (441832K) : via1_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (441832K) : backmetal1_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (441960K) : backmetal1_pin has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (441960K) : backmetal1_mask has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (441960K) : backmetal1_filler has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (442088K) : backmetal1_nofill has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (442088K) : backmetal1_slit has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (442216K) : backmetal1_text has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (442216K) : backmetal1_opc has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (442216K) : backmetal1_noqrc has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (442344K) : backmetal1_res has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (442344K) : backmetal1_iprobe has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (442472K) : backmetal1_diffprb has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (442472K) : backpassiv_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (442600K) : res_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (442600K) : sram_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (442728K) : trans_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (442728K) : ind_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (442856K) : ind_pin has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (442856K) : ind_text has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (442984K) : salblock_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (442984K) : via2_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (443112K) : metal3_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (443112K) : metal3_pin has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (443240K) : metal3_mask has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (443240K) : metal3_filler has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (443368K) : metal3_nofill has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (443368K) : metal3_slit has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (443496K) : metal3_text has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (443496K) : metal3_opc has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (443624K) : metal3_noqrc has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (443624K) : metal3_res has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (443624K) : metal3_iprobe has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (443752K) : metal3_diffprb has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (443880K) : nwell_drw has 3 polygons
2026-03-11 20:59:55 +0100: Memory Usage (443880K) : nwell_pin has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (444008K) : nbulay_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (444008K) : nbulay_pin has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (444008K) : nbulay_block has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (444136K) : emwind_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (444264K) : emwind_opc has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (444264K) : deepco_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (444392K) : deepco_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (444392K) : mim_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (444520K) : edgeseal_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (444520K) : edgeseal_bound has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (444648K) : substrate_drw has 1 polygons
2026-03-11 20:59:55 +0100: Memory Usage (444648K) : substrate_text has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (444776K) : dfpad_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (444776K) : dfpad_pillar has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (444904K) : dfpad_sbump has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (444904K) : thickgateox_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (444904K) : pldb_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (445032K) : pwell_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (445032K) : pwell_pin has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (445160K) : pwell_block has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (445160K) : ic_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (445288K) : via3_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (445288K) : metal4_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (445416K) : metal4_pin has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (445416K) : metal4_mask has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (445544K) : metal4_filler has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (445544K) : metal4_nofill has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (445672K) : metal4_slit has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (445672K) : metal4_text has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (445672K) : metal4_opc has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (445800K) : metal4_noqrc has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (445800K) : metal4_res has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (445928K) : metal4_iprobe has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (445928K) : metal4_diffprb has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (446056K) : heattrans_drw has 2 polygons
2026-03-11 20:59:55 +0100: Memory Usage (446184K) : heatres_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (446184K) : pempoly_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (446184K) : fbe_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (446312K) : empoly_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (446312K) : ldmos_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (446440K) : pbiwind_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (446568K) : digisub_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (446568K) : nodrc_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (446824K) : text_drw has 2 polygons
2026-03-11 20:59:55 +0100: Memory Usage (446824K) : via4_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (446824K) : metal5_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (446952K) : metal5_pin has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (446952K) : metal5_mask has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (447080K) : metal5_filler has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (447080K) : metal5_nofill has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (447080K) : metal5_slit has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (447208K) : metal5_text has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (447208K) : metal5_opc has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (447336K) : metal5_noqrc has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (447336K) : metal5_res has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (447464K) : metal5_iprobe has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (447464K) : metal5_diffprb has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (447464K) : radhard_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (447592K) : memcap_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (447720K) : varicap_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (447848K) : flash_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (447848K) : intbondvia_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (447976K) : intbondmet_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (447976K) : devbondvia_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (447976K) : devbondmet_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (448104K) : devtrench_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (448104K) : redist_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (448232K) : graphbot_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (448232K) : graphtop_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (448360K) : antvia1_drw has 0 polygons
2026-03-11 20:59:55 +0100: Memory Usage (448360K) : antmetal2_drw has 0 polygons
